date,ticker,trade_grade,cap,intraday_setup,setup,atr_pct,atr_pct_move,avg_daily_vol,breaks_ath,breaks_fifty_two_wk,close_at_lows,close_green_red,day_of_range_pct,gap_pct,hit_green_red,hit_prior_day_hilo,move_together,one_day_before_range_pct,pct_change_120,pct_change_15,pct_change_3,pct_change_30,pct_change_90,pct_from_10mav,pct_from_200mav,pct_from_20mav,pct_from_50mav,atr_distance_from_50mav,percent_of_premarket_vol,percent_of_vol_in_first_10_min,percent_of_vol_in_first_15_min,percent_of_vol_in_first_30_min,percent_of_vol_in_first_5_min,percent_of_vol_on_breakout_day,percent_of_vol_one_day_before,percent_of_vol_three_day_before,percent_of_vol_two_day_before,premarket_vol,reversal_duration,reversal_open_close_pct,reversal_open_low_pct,reversal_open_post_low_pct,reversal_open_to_day_after_open_pct,spy_open_close_pct,three_day_before_range_pct,time_of_high_price,time_of_low,time_of_reversal,two_day_before_range_pct,vol_in_first_10_min,vol_in_first_15_min,vol_in_first_30_min,vol_in_first_5_min,vol_on_breakout_day,vol_one_day_before,vol_three_day_before,vol_two_day_before,upper_band_distance,bollinger_width,closed_outside_upper_band,vol_ratio_5min_to_pm,rvol_score,prior_day_close_vs_high_pct,consecutive_up_days,prior_day_range_atr,time_of_high_bucket,gap_from_pm_high,spy_5day_return,uvxy_close,bp,npl,size,pct_from_9ema
9/5/2018,AMD,A,Medium,,2DBreakoutIB,0.0348,0.1367,112245625.3,TRUE,TRUE,FALSE,FALSE,2.7,0.04811119,TRUE,FALSE,TRUE,3.1,1.566317627,0.469030969,0.181599036,0.816553428,1.647164716,0.200914524,1.186941897,0.342661106,0.570449944,7.126402996,0.100734625,0.249059043,0.308443103,0.528507511,0.154635167,2.275649339,1.715354157,0.923038201,0.580922417,11307021,0 days 00:11:00,-0.030601836,-0.087385243,-0.037402244,-0.128867732,-0.001313016,0.7,2018-09-05 09:32:00-04:00,,2018-09-05 09:51:00-04:00,0.5,27955788,34621389,59322656,17357121,255431683,192541000,103607000,65206000,0.020028049,0.517817765,TRUE,1.535074623,2.275649339,0.980334317,2,2.603718632,1,-0.005410889,-0.000379415,106125,,,,0.177610333
2/27/2020,MRNA,A,Medium,,3DGapFade,0.0577,0.1624,14427518.23,TRUE,TRUE,FALSE,TRUE,4.255688727,0.230452675,TRUE,TRUE,TRUE,2.876604629,1.310367032,0.789526185,0.93006993,0.794,1.467675378,0.711718137,1.061572292,0.713286297,0.772778979,5.157073175,0.451121454,0.667223763,0.776079699,1.109505166,0.446322708,4.703756871,6.407954881,1.306486073,7.596682681,6508563,0 days 01:58:00,-0.27090301,-0.357580825,-0.27090301,-0.348383501,-0.026026321,0.783924743,2020-02-27 04:01:00-05:00,2020-02-27 11:29:00-05:00,2020-02-27 09:31:00-05:00,4.356222002,9626383,11196904,16007406,6439329,67863538,78016785,7605391,65001881,0.124932598,0.500662321,TRUE,0.989362629,4.703756871,0.717241379,3,1.723592776,1,-0.037811746,-0.075530494,43550,,,,0.582786261
2/28/2020,ZM,B,Medium,,2DGapFade,0.0457,0.0681,6786644.273,TRUE,TRUE,FALSE,TRUE,3.138841521,0.066226332,TRUE,TRUE,FALSE,1.753674516,0.417515513,0.387462755,0.130649981,0.573563816,0.832173123,0.177112295,0.490517555,0.280125146,0.509954081,5.26282503,0.106757032,0.227799475,0.311590517,0.463848534,0.164545828,3.176523203,2.140987577,2.468088884,1.207081265,724522,0 days 01:27:00,-0.13273313,-0.195754522,-0.140992814,-0.096803502,0.026186353,1.231819131,2020-02-28 09:04:00-05:00,2020-02-28 11:49:00-05:00,2020-02-28 10:22:00-05:00,0.975149572,1545994,2114654,3147975,1116714,21557933,13511847,13425932,6885393,-0.013037707,0.455041328,FALSE,1.541311375,3.176523202,0.572115385,1,2.004148974,1,-0.021656566,-0.10786254,54275,,,,0.173019073
2/28/2020,VIR,C,Small,,GapDownTrendBreak,0.0654,0.3664,1161467.636,FALSE,FALSE,FALSE,TRUE,4.370236689,0.181893688,TRUE,FALSE,FALSE,7.336402224,4.046099291,2.699947998,2.274275196,3.662516383,4.20863836,1.689640995,3.2477,2.04174152,2.899383338,6.946910583,0.308197137,0.21061112,0.339117499,0.668814159,0.21061112,2.825791178,6.566923927,1.199217666,5.090113181,357961,0 days 00:48:00,-0.34645116,-0.461700632,-0.356289529,-0.444413212,0.026186353,1.573582639,2020-02-28 07:55:00-05:00,2020-02-28 10:21:00-05:00,2020-02-28 09:33:00-05:00,5.377278023,244618,393874,776806,244618,3282065,6588602,744209,3976387,0.426201387,1.750502257,TRUE,0.683364948,2.825791179,0.598807265,4,9.369888344,1,-0.15297619,-0.10786254,54275,,,,1.180801906
2/28/2020,CODX,A,Micro,,3DGapFade,0.0561,0.7342,16553910.59,TRUE,TRUE,FALSE,TRUE,4.298157932,0.357769424,TRUE,TRUE,FALSE,6.115595214,18.88073394,6.035714286,4.022016222,19.44339623,19.63809524,2.525978763,14.36056381,3.674152474,7.197431848,7.635419677,0.179400691,0.151052707,0.196661869,0.305430791,0.06923053,1.645657432,3.654645638,1.402153003,5.951475539,2969783,0 days 00:34:00,-0.389478542,-0.492385787,-0.411167513,-0.223811721,0.026186353,1.610328638,2020-02-28 05:30:00-05:00,2020-02-28 12:09:00-05:00,2020-02-28 11:35:00-05:00,6.285421646,2500513,3255523,5056074,1146036,27242066,58656619,14440743,82772152,0.547930987,2.996928423,TRUE,0.385898902,1.645657433,0.56557377,4,9.538105513,1,-0.069158076,-0.10786254,54275,,,,1.681372029
2/28/2020,AHPI,C,Micro,,2DGapFade,0.223961611,-1.879114102,1590989.591,TRUE,TRUE,FALSE,FALSE,8.337777778,1.670103093,FALSE,FALSE,FALSE,9.836533727,27.77777778,17.75113122,11.15249267,26.62666667,28.81294964,6.354142834,24.56324346,9.391409768,15.67621534,11.96407362,0.605944882,0.184463809,0.212520561,0.645117357,0.113966805,4.683851511,8.759129874,1.538786649,2.687889758,964052,0 days 00:29:00,-0.420849421,-0.617519305,-0.517133205,-0.425916988,0.026186353,2.082086873,2020-02-28 05:06:00-05:00,2020-02-28 12:43:00-05:00,2020-02-28 11:27:00-05:00,1.71656051,293480,338118,1026375,181320,7451959,11580344,1138862,2138997,0.696176795,3.558080232,TRUE,0.188081141,4.683851511,0.811627907,6,3.711285891,2,-0.01567696,-0.10786254,54275,,,,3.930787832
2/28/2020,APT,B,Micro,,3DGapFade,0.0501,1.0221,8189562.909,TRUE,TRUE,FALSE,TRUE,6.341251133,0.474455446,TRUE,FALSE,FALSE,6.868181818,9.637142857,5.744565217,2.723,9.760115607,9.089430894,3.085060407,9.318647476,4.307216232,6.450371462,9.140674379,0.348464018,0.322381918,0.415959196,0.732218321,0.098769618,4.293056222,5.772868614,4.605320418,4.773737101,2853768,0 days 00:53:00,-0.435938759,-0.553854418,-0.462798818,-0.473811442,0.026186353,4.74611399,2020-02-28 04:39:00-05:00,2020-02-28 12:23:00-05:00,2020-02-28 11:30:00-05:00,2.959558824,2640167,3406524,5996548,808880,35158254,40583062,19521259,24805403,0.537141856,2.628186413,TRUE,0.283442803,4.293056222,0.798206278,6,8.814055058,2,-0.161486486,-0.10786254,54275,,,,2.158632728
6/9/2020,NKLA,A,Medium,,2DGapFade,0.268358836,0.3198,1214911.808,TRUE,TRUE,FALSE,FALSE,1.729041304,0.271052272,TRUE,FALSE,FALSE,2.329491665,1.759407407,1.759407407,1.759407407,1.759407407,1.759407407,1.7565,464.8567497,4621.610577,2872.972089,,0.14631608,0.103463093,0.172057537,0.351051105,0.065521409,1.941740943,0,0,0,177761.1331,0 days 00:30:00,-0.143884892,-0.388006013,-0.237624826,-0.189197895,0.001529816,1,2020-06-09 08:27:00-04:00,2020-06-09 10:08:00-04:00,2020-06-09 09:38:00-04:00,0.594843462,125698.5333,209034.7334,426496.1334,79602.7333,2359044,1667610.867,552220.3,279559.2,,,,0.447807301,1.941740943,0.987079327,2,8.228450262,1,-0.043937994,0.049078162,71175,,,,6563.22011
7/6/2020,WKHS,B,Small,,GapDownTrendBreak,0.065,0.4043,2341828.83,FALSE,FALSE,TRUE,TRUE,1.519947678,0.012912482,TRUE,TRUE,FALSE,1.489489489,4.932773109,4.603174603,0.217941346,6.962406015,4.932773109,0.65868356,5.258152431,1.529229863,3.236468754,6.007309353,0.09367446,0.144553947,0.180568321,0.258423051,0.062748822,1.356268575,2.758322117,5.185485175,3.310395701,219369.55,0 days 04:38:00,-0.168555241,-0.182247403,-0.273843248,-0.255429651,0.002149382,3.004103967,2020-07-06 08:32:00-04:00,2020-07-06 17:49:00-04:00,2020-07-06 09:38:00-04:00,2.979005525,338520.6,422860.1,605182.55,146947,3176148.85,6047977.5,8274917.8,6293988.65,0.092807673,2.926574481,TRUE,0.669860516,1.356268575,0.368253968,11,2.317624986,1,-0.039455782,0.040593234,75925,,,,0.472178765
11/13/2020,XPEV,B,Medium,,2DBreakoutIB,0.0454,0.2879,31834640.7,TRUE,TRUE,FALSE,TRUE,2.51530262,0.072211044,TRUE,FALSE,FALSE,3.414307466,1.260131951,1.39201995,0.45775076,1.636613524,1.260131951,0.562157221,0,0.941640946,1.304766871,5.501594234,0.208416456,0.266914839,0.344167195,0.568178236,0.122640995,2.893373884,5.492485684,1.462005621,1.1231782,6634863,0 days 04:13:00,-0.124478732,-0.207673061,-0.168890742,-0.154920767,0.007965773,1.701195219,2020-11-13 09:59:00-05:00,2020-11-13 14:44:00-05:00,2020-11-13 10:31:00-05:00,0.935099633,8497138,10956439,18087750,3904232,92109518,167378773,32605787,25426459,0.098852117,1.20590005,TRUE,0.588441992,2.893373884,0.703932151,2,6.386828066,1,-0.04784594,0.008710304,35925,,,,0.474875522
